epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,811.787,1.30719,0.97061,1.07057,0.91762,0.7037,0.82467,0.56581,1.35201,1.02596,1.23726,0.00643101,0.00643101,0.00643101
43,822.355,1.29029,0.94139,1.08245,0.95781,0.64198,0.80344,0.55047,1.32671,1.04957,1.21036,0.00628101,0.00628101,0.00628101
44,833.085,1.30356,0.94656,1.07946,0.79692,0.77778,0.82001,0.57681,1.23786,1.04774,1.19238,0.00612981,0.00612981,0.00612981
45,843.597,1.28467,0.9688,1.08388,0.9457,0.69136,0.82533,0.55319,1.35387,1.09538,1.2221,0.00597754,0.00597754,0.00597754
46,854.149,1.27336,0.94421,1.04788,0.81369,0.7549,0.82291,0.55876,1.29154,1.08543,1.22806,0.00582435,0.00582435,0.00582435
47,864.589,1.24099,0.89007,1.0479,0.84099,0.75309,0.82689,0.5681,1.31724,1.13187,1.19811,0.0056704,0.0056704,0.0056704
48,875.16,1.21104,0.89725,1.04206,0.74684,0.76543,0.7961,0.53369,1.27103,1.07774,1.17988,0.00551584,0.00551584,0.00551584
49,885.933,1.30377,0.91122,1.05038,0.8684,0.77778,0.82723,0.57222,1.32439,1.11775,1.22473,0.00536081,0.00536081,0.00536081
50,896.525,1.17765,0.86737,1.02442,0.90889,0.75309,0.8379,0.55964,1.3615,1.06547,1.20976,0.00520548,0.00520548,0.00520548
51,907.116,1.14537,0.84437,1.02286,0.93808,0.74074,0.84684,0.59445,1.30151,1.04138,1.21006,0.00505,0.00505,0.00505
52,917.111,1.20282,0.8511,1.03248,0.82138,0.77778,0.83478,0.58929,1.33607,1.07622,1.21603,0.00489452,0.00489452,0.00489452
53,929.411,1.1965,0.85641,1.0161,0.85869,0.77778,0.83704,0.58138,1.26412,1.11603,1.19672,0.00473919,0.00473919,0.00473919
54,940.933,1.13988,0.82613,1.00642,0.89014,0.71605,0.8443,0.6109,1.27252,1.01633,1.20191,0.00458416,0.00458416,0.00458416
55,951.102,1.11477,0.80438,0.98653,0.73314,0.81481,0.82167,0.56682,1.32527,1.09689,1.2119,0.0044296,0.0044296,0.0044296
56,961.557,1.14165,0.84674,1.0183,0.84597,0.74589,0.81987,0.56952,1.28809,1.08478,1.17076,0.00427565,0.00427565,0.00427565
57,971.974,1.13678,0.86075,1.00153,0.8806,0.80247,0.85934,0.58701,1.26025,1.02367,1.15292,0.00412246,0.00412246,0.00412246
58,982.586,1.13629,0.82387,1.00878,0.82023,0.76543,0.83239,0.57565,1.30653,1.03903,1.18983,0.00397019,0.00397019,0.00397019
59,993.117,1.15339,0.82772,1.00942,0.9245,0.76543,0.83528,0.58529,1.28642,1.00076,1.1958,0.00381899,0.00381899,0.00381899
60,1003.63,1.07893,0.79862,0.99793,0.88348,0.74074,0.84839,0.56104,1.37735,0.98345,1.24085,0.00366899,0.00366899,0.00366899
61,1014,1.13311,0.80124,0.99453,0.76864,0.80247,0.83235,0.59713,1.30241,0.94866,1.20415,0.00352037,0.00352037,0.00352037
62,1024.5,1.07204,0.76575,0.98491,0.89986,0.77657,0.82215,0.57865,1.3072,0.9061,1.19603,0.00337325,0.00337325,0.00337325
63,1034.93,1.11976,0.79077,0.97091,0.91244,0.77198,0.85812,0.61283,1.30053,0.94371,1.2112,0.00322778,0.00322778,0.00322778
64,1045.3,1.04941,0.7415,0.97485,0.8766,0.78929,0.84834,0.62621,1.24521,0.99044,1.17448,0.00308412,0.00308412,0.00308412
65,1055.78,1.11794,0.78316,0.98015,0.87475,0.77601,0.85615,0.63285,1.28207,0.95229,1.18768,0.00294239,0.00294239,0.00294239
66,1066.17,1.07185,0.76215,0.98774,0.92511,0.76259,0.86044,0.62577,1.26041,0.97097,1.18297,0.00280275,0.00280275,0.00280275
67,1076.55,1.08883,0.76713,0.97934,0.88534,0.80247,0.86388,0.61206,1.27593,0.92454,1.20054,0.00266532,0.00266532,0.00266532
68,1086.96,1.01705,0.72465,0.95892,0.81588,0.79012,0.85039,0.61026,1.20764,0.93808,1.15699,0.00253024,0.00253024,0.00253024
69,1097.01,1.00982,0.71542,0.97667,0.95469,0.78038,0.87281,0.62015,1.23127,0.9135,1.19922,0.00239766,0.00239766,0.00239766
70,1107.28,1.05133,0.74449,0.97738,0.95367,0.79012,0.87588,0.63934,1.23125,0.85824,1.18037,0.00226769,0.00226769,0.00226769
71,1117.75,1.04504,0.74499,0.96838,0.91606,0.81481,0.86993,0.62956,1.24973,0.90194,1.15114,0.00214046,0.00214046,0.00214046
72,1128,0.98559,0.68835,0.96435,0.94033,0.80247,0.86557,0.62989,1.2619,0.91957,1.18795,0.00201611,0.00201611,0.00201611
73,1139.67,1.01378,0.70083,0.94726,0.93477,0.79012,0.85576,0.63598,1.21993,0.90635,1.18876,0.00189475,0.00189475,0.00189475
74,1152.14,1.01644,0.70854,0.97501,0.95627,0.80994,0.85789,0.63738,1.20195,0.83281,1.15085,0.00177651,0.00177651,0.00177651
75,1163.11,0.94978,0.67634,0.92995,0.95295,0.81481,0.86473,0.62239,1.20994,0.87393,1.15965,0.00166149,0.00166149,0.00166149
76,1173.4,1.01849,0.70147,0.94585,0.91594,0.79012,0.86927,0.62759,1.2622,0.92866,1.2141,0.00154982,0.00154982,0.00154982
77,1183.59,0.98251,0.74187,0.93819,0.94268,0.81214,0.86321,0.62369,1.21912,0.91409,1.15626,0.00144161,0.00144161,0.00144161
78,1194.17,0.98072,0.68725,0.96501,0.95041,0.81481,0.87012,0.63744,1.17136,0.88946,1.13822,0.00133695,0.00133695,0.00133695
79,1204.51,0.95582,0.66946,0.93719,0.91734,0.81481,0.86789,0.65234,1.18862,0.88738,1.1707,0.00123596,0.00123596,0.00123596
80,1214.86,0.93599,0.66091,0.94019,0.92878,0.76543,0.86188,0.64736,1.18101,0.88142,1.16377,0.00113873,0.00113873,0.00113873
81,1225.51,0.90778,0.66002,0.93267,0.92773,0.79241,0.86041,0.64959,1.17259,0.86356,1.15844,0.00104537,0.00104537,0.00104537
82,1235.68,0.97104,0.68878,0.9416,0.91478,0.79516,0.86144,0.64982,1.19428,0.87211,1.17545,0.000955951,0.000955951,0.000955951
83,1731.13,0.96271,0.6698,0.9422,0.94143,0.79012,0.86573,0.65545,1.17839,0.82396,1.1595,0.000870577,0.000870577,0.000870577
84,1741.13,0.93513,0.64035,0.93316,0.95122,0.81481,0.86767,0.63247,1.24186,0.87386,1.1691,0.000789327,0.000789327,0.000789327
85,1751.02,0.97462,0.66845,0.94881,0.91812,0.80247,0.86149,0.63802,1.22745,0.90832,1.1592,0.000712282,0.000712282,0.000712282
86,1760.94,0.90798,0.64065,0.954,0.91653,0.81481,0.86703,0.66198,1.15749,0.86519,1.16179,0.000639518,0.000639518,0.000639518
87,1770.81,0.9311,0.63879,0.94261,0.92922,0.81481,0.86985,0.67215,1.13655,0.85336,1.14623,0.000571106,0.000571106,0.000571106
88,1780.6,0.97241,0.68941,0.94786,0.92216,0.79012,0.86655,0.67502,1.11899,0.85546,1.1476,0.000507115,0.000507115,0.000507115
89,1790.55,0.90715,0.63301,0.93795,0.94092,0.78645,0.86178,0.66678,1.14771,0.89718,1.16823,0.000447606,0.000447606,0.000447606
90,1800.52,0.91188,0.64799,0.93867,0.95117,0.81481,0.86859,0.67096,1.16835,0.8885,1.17621,0.00039264,0.00039264,0.00039264
91,1821.95,0.85172,0.58329,0.90762,0.94207,0.81481,0.87263,0.66023,1.12776,0.7992,1.1627,0.00034227,0.00034227,0.00034227
92,1831.88,0.86026,0.58556,0.90811,0.92732,0.80247,0.86464,0.64094,1.16078,0.85263,1.18744,0.000296546,0.000296546,0.000296546
93,1841.74,0.85485,0.58292,0.92037,0.93273,0.81481,0.86774,0.64841,1.14069,0.83349,1.18117,0.000255513,0.000255513,0.000255513
94,1851.69,0.83789,0.58944,0.92167,0.9252,0.81481,0.86514,0.64976,1.12782,0.81323,1.15734,0.000219212,0.000219212,0.000219212
95,1861.71,0.83477,0.59285,0.91755,0.93785,0.81481,0.86483,0.6478,1.14969,0.80434,1.1587,0.000187678,0.000187678,0.000187678
96,1871.75,0.87765,0.60794,0.95142,0.94705,0.81481,0.86882,0.65252,1.16409,0.81288,1.16945,0.000160943,0.000160943,0.000160943
97,1881.69,0.82587,0.58129,0.91673,0.91221,0.80247,0.86624,0.65586,1.17127,0.82196,1.17254,0.000139032,0.000139032,0.000139032
98,1891.54,0.88139,0.59193,0.90919,0.92206,0.80247,0.86663,0.6528,1.15501,0.80142,1.16975,0.000121968,0.000121968,0.000121968
99,1901.47,0.83784,0.58316,0.93433,0.94989,0.81481,0.8708,0.65795,1.15739,0.80844,1.17086,0.000109768,0.000109768,0.000109768
100,1911.4,0.80766,0.5588,0.90625,0.95217,0.81481,0.8691,0.65727,1.15864,0.80314,1.168,0.000102443,0.000102443,0.000102443
