frame_index,stage,is_keyframe,fileName,nose_x,nose_y,left_eye_inner_x,left_eye_inner_y,left_eye_x,left_eye_y,left_eye_outer_x,left_eye_outer_y,right_eye_inner_x,right_eye_inner_y,right_eye_x,right_eye_y,right_eye_outer_x,right_eye_outer_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_pinky_x,left_pinky_y,right_pinky_x,right_pinky_y,left_index_x,left_index_y,right_index_x,right_index_y,left_thumb_x,left_thumb_y,right_thumb_x,right_thumb_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_heel_x,left_heel_y,right_heel_x,right_heel_y,left_foot_index_x,left_foot_index_y,right_foot_index_x,right_foot_index_y
0,5,0,frame0000.jpg,0.5239949226379395,0.4632571339607239,0.5248974561691284,0.45383140444755554,0.5231865644454956,0.45287656784057617,0.5215422511100769,0.4519634246826172,0.5241197347640991,0.4532887637615204,0.522254228591919,0.452269971370697,0.5201724767684937,0.45122748613357544,0.5029816627502441,0.44620707631111145,0.5007495284080505,0.44575822353363037,0.5071495771408081,0.46691158413887024,0.5064957141876221,0.46634942293167114,0.44460296630859375,0.4759212136268616,0.44650647044181824,0.4806949496269226,0.0,0.0,0.4718013405799866,0.544195294380188,0.0,0.0,0.5019798278808594,0.5981576442718506,0.0,0.0,0.5074203014373779,0.6121769547462463,0.0,0.0,0.5114539861679077,0.6120060682296753,0.0,0.0,0.5079184174537659,0.6083195805549622,0.35675543546676636,0.5843636989593506,0.3398536145687103,0.5859673023223877,0.0,0.0,0.3920031189918518,0.6736844182014465,0.0,0.0,0.36317992210388184,0.7800967693328857,0.0,0.0,0.3400602638721466,0.7973501682281494,0.45098012685775757,0.7388838529586792,0.4363957941532135,0.8013296127319336
1,5,0,frame0001.jpg,0.5236489772796631,0.4629148542881012,0.5248785018920898,0.4535474181175232,0.5231698751449585,0.45250487327575684,0.5215323567390442,0.45152390003204346,0.5241205096244812,0.4531345069408417,0.5222592353820801,0.45208340883255005,0.5202071666717529,0.45102572441101074,0.5029807686805725,0.445970743894577,0.5007742643356323,0.4456596374511719,0.506991982460022,0.4665611982345581,0.5064212083816528,0.4661177694797516,0.4433209300041199,0.47694164514541626,0.4451497793197632,0.4817086458206177,0.0,0.0,0.47268885374069214,0.5446467399597168,0.0,0.0,0.5021319389343262,0.5989771485328674,0.0,0.0,0.5078413486480713,0.6128979921340942,0.0,0.0,0.511695921421051,0.612590491771698,0.0,0.0,0.5081554055213928,0.6089388728141785,0.3570765256881714,0.5845704078674316,0.3397127389907837,0.5864473581314087,0.0,0.0,0.39124298095703125,0.6737187504768372,0.0,0.0,0.36314982175827026,0.779573380947113,0.2227047234773636,0.44027993083000183,0.3398585319519043,0.7975280284881592,0.4509568214416504,0.7391443252563477,0.4363147020339966,0.801017701625824
2,5,0,frame0002.jpg,0.5232747197151184,0.46239960193634033,0.5247631072998047,0.4531397819519043,0.5230758786201477,0.4520084857940674,0.5214770436286926,0.4509618282318115,0.5240485668182373,0.4528794288635254,0.5222011804580688,0.4517970383167267,0.520196259021759,0.4507327675819397,0.502934455871582,0.44560307264328003,0.5007455348968506,0.4454502463340759,0.5068519711494446,0.466137170791626,0.5063488483428955,0.4658263921737671,0.4434516429901123,0.47840261459350586,0.44218868017196655,0.48323002457618713,0.0,0.0,0.4738137722015381,0.5455573797225952,0.0,0.0,0.5024750232696533,0.6009475588798523,0.0,0.0,0.5087177157402039,0.6143269538879395,0.0,0.0,0.5123795866966248,0.6137850284576416,0.0,0.0,0.5087642669677734,0.6103745102882385,0.35815125703811646,0.5846927762031555,0.3391600251197815,0.5867360234260559,0.0,0.0,0.39047738909721375,0.6737020015716553,0.0,0.0,0.3631269335746765,0.7788097858428955,0.31146398186683655,0.6170420050621033,0.3396149277687073,0.7976357936859131,0.45093855261802673,0.7396025657653809,0.4362933039665222,0.8008118867874146
3,5,0,frame0003.jpg,0.5229038000106812,0.46196168661117554,0.5245722532272339,0.45278841257095337,0.5229098200798035,0.4515983462333679,0.5213609337806702,0.4505082964897156,0.5238723158836365,0.4526125192642212,0.5220122337341309,0.45148855447769165,0.520045280456543,0.4504052400588989,0.5027420520782471,0.44521230459213257,0.5004943609237671,0.4451363980770111,0.5067046880722046,0.46571552753448486,0.5062277913093567,0.4654904007911682,0.44710105657577515,0.4797927141189575,0.4387730658054352,0.4841710329055786,0.0,0.0,0.47419682145118713,0.546074628829956,0.0,0.0,0.503001868724823,0.6027311086654663,0.0,0.0,0.5098433494567871,0.6157287359237671,0.0,0.0,0.5135182738304138,0.6151176691055298,0.0,0.0,0.5097621083259583,0.61188805103302,0.36147093772888184,0.5849081873893738,0.33832284808158875,0.5868626832962036,0.0,0.0,0.3895970582962036,0.6735212206840515,0.0,0.0,0.36307820677757263,0.7782522439956665,0.346425324678421,0.6880492568016052,0.339335560798645,0.7977244853973389,0.45086053013801575,0.7400170564651489,0.43632686138153076,0.8007458448410034
4,5,0,frame0004.jpg,0.5225619673728943,0.4610326886177063,0.5241695046424866,0.45204001665115356,0.5225538611412048,0.45085257291793823,0.5210762023925781,0.4497452676296234,0.5234622359275818,0.4519277811050415,0.5215912461280823,0.4508076012134552,0.5196216702461243,0.4496763050556183,0.5022013783454895,0.44460147619247437,0.49992895126342773,0.44442957639694214,0.5065234899520874,0.46486935019493103,0.5060979723930359,0.464668333530426,0.45446667075157166,0.481291800737381,0.4336457848548889,0.4844799041748047,0.0,0.0,0.47312411665916443,0.5462685823440552,0.0,0.0,0.5034680366516113,0.6036945581436157,0.0,0.0,0.5108209848403931,0.6168542504310608,0.0,0.0,0.5151071548461914,0.6161969900131226,0.0,0.0,0.511515200138092,0.6130505800247192,0.365856409072876,0.5850786566734314,0.3375723659992218,0.5868796706199646,0.0,0.0,0.38691169023513794,0.6735367774963379,0.0,0.0,0.3629533052444458,0.777675986289978,0.36019062995910645,0.7168289422988892,0.3390195965766907,0.7976521849632263,0.4509356617927551,0.7403210997581482,0.4362870454788208,0.8010062575340271
5,5,0,frame0005.jpg,0.5218812823295593,0.46003979444503784,0.5234554409980774,0.4512779116630554,0.5219585299491882,0.45015403628349304,0.520581066608429,0.4490755498409271,0.522671639919281,0.4511515200138092,0.5208120942115784,0.45004963874816895,0.5187543630599976,0.4488223195075989,0.5014818906784058,0.44414156675338745,0.49893125891685486,0.4436374008655548,0.5061694383621216,0.4638725817203522,0.505722165107727,0.4636947810649872,0.4609273076057434,0.48240697383880615,0.42891424894332886,0.48457616567611694,0.0,0.0,0.47003042697906494,0.5463448166847229,0.0,0.0,0.5039228796958923,0.6046187281608582,0.0,0.0,0.511599600315094,0.6179341077804565,0.0,0.0,0.5169773697853088,0.6170254945755005,0.0,0.0,0.5137883424758911,0.613884449005127,0.3701094388961792,0.5855698585510254,0.3368198871612549,0.5868831872940063,0.0,0.0,0.3838668465614319,0.6735771894454956,0.0,0.0,0.362840861082077,0.7771749496459961,0.36543965339660645,0.7289727926254272,0.3389025330543518,0.7972934246063232,0.4514884650707245,0.740666389465332,0.43595004081726074,0.8012232780456543
6,5,0,frame0006.jpg,0.5208783149719238,0.4594312310218811,0.5226844549179077,0.45088738203048706,0.5213737487792969,0.4498472809791565,0.5201640129089355,0.44882437586784363,0.5216110944747925,0.4506729245185852,0.5197113752365112,0.44959086179733276,0.5174251198768616,0.4482715129852295,0.5007668733596802,0.4439541697502136,0.4973275065422058,0.4429442286491394,0.5056387782096863,0.4632563591003418,0.5049754977226257,0.4630267918109894,0.46589016914367676,0.48330122232437134,0.4247515797615051,0.4836905598640442,0.0,0.0,0.46550559997558594,0.5463578701019287,0.0,0.0,0.5041009783744812,0.6049507856369019,0.0,0.0,0.5118868947029114,0.6186339259147644,0.0,0.0,0.5181183218955994,0.6174912452697754,0.0,0.0,0.5152718424797058,0.6143262982368469,0.37396255135536194,0.5862507820129395,0.3360484838485718,0.5868422985076904,0.0,0.0,0.38198786973953247,0.6735779643058777,0.0,0.0,0.36269688606262207,0.7767572402954102,0.36742186546325684,0.734351396560669,0.33885616064071655,0.7968970537185669,0.45231354236602783,0.7409185171127319,0.4351215362548828,0.801741361618042
7,5,0,frame0007.jpg,0.5193372964859009,0.45912259817123413,0.521321713924408,0.45065605640411377,0.5201506614685059,0.4496881067752838,0.5190719366073608,0.44872161746025085,0.5200002193450928,0.45035630464553833,0.5179785490036011,0.44926369190216064,0.5155510902404785,0.4479055404663086,0.4998103380203247,0.4438820779323578,0.49554443359375,0.44250860810279846,0.5045375823974609,0.46297281980514526,0.5036064386367798,0.4626755118370056,0.46946805715560913,0.4841606616973877,0.42110568284988403,0.4829307496547699,0.0,0.0,0.4605104327201843,0.5461333990097046,0.0,0.0,0.5041693449020386,0.6049211025238037,0.0,0.0,0.5119881629943848,0.6188363432884216,0.0,0.0,0.5188772082328796,0.617586076259613,0.0,0.0,0.5161914229393005,0.6143815517425537,0.3770529329776764,0.586972177028656,0.33524274826049805,0.5868216156959534,0.0,0.0,0.3811474144458771,0.673210859298706,0.0,0.0,0.3625204265117645,0.7766046524047852,0.3681129217147827,0.736693263053894,0.3386220932006836,0.7967419028282166,0.4530631899833679,0.7412182688713074,0.43466901779174805,0.8020771741867065
8,5,0,frame0008.jpg,0.5176713466644287,0.4590197801589966,0.5198633074760437,0.45054423809051514,0.5187923908233643,0.44962167739868164,0.5178117752075195,0.4486963748931885,0.5183135271072388,0.450169175863266,0.5161344408988953,0.4490388035774231,0.5135854482650757,0.44765716791152954,0.4986848533153534,0.443858802318573,0.4937834143638611,0.4422015845775604,0.5030902028083801,0.4628556966781616,0.5019344091415405,0.4624907970428467,0.4723108410835266,0.4848266839981079,0.4175693690776825,0.48218846321105957,0.0,0.0,0.45570993423461914,0.5453737378120422,0.0,0.0,0.5041007995605469,0.6048952341079712,0.0,0.0,0.5120204091072083,0.6187949180603027,0.0,0.0,0.5190944671630859,0.6175618171691895,0.0,0.0,0.516409158706665,0.6143217086791992,0.37906986474990845,0.5873047113418579,0.334775447845459,0.58674156665802,0.0,0.0,0.3802950382232666,0.6730575561523438,0.0,0.0,0.3622468113899231,0.7765669822692871,0.36839771270751953,0.7380876541137695,0.33832693099975586,0.796671986579895,0.45388007164001465,0.7413889169692993,0.4337213337421417,0.8021283149719238
9,5,0,frame0009.jpg,0.5163158774375916,0.4588543772697449,0.5184130072593689,0.45035451650619507,0.5173482894897461,0.4494737684726715,0.5164064764976501,0.44860363006591797,0.5166947841644287,0.44989126920700073,0.5142720937728882,0.448673814535141,0.5116288661956787,0.44727030396461487,0.4974152147769928,0.4437793791294098,0.492046058177948,0.4418317675590515,0.5019515752792358,0.4626900255680084,0.5007043480873108,0.4622189998626709,0.47481468319892883,0.4851350784301758,0.4139243960380554,0.48124080896377563,0.0,0.0,0.45233404636383057,0.5446239113807678,0.0,0.0,0.5039194226264954,0.6047059893608093,0.0,0.0,0.5118342041969299,0.6186915636062622,0.0,0.0,0.519106388092041,0.6174970865249634,0.0,0.0,0.5163904428482056,0.6142532229423523,0.3810049891471863,0.5874253511428833,0.3345666527748108,0.5866395831108093,0.0,0.0,0.37917420268058777,0.6730759143829346,0.0,0.0,0.36200058460235596,0.7766002416610718,0.36853474378585815,0.7386185526847839,0.33820581436157227,0.7967902421951294,0.454825758934021,0.7414501309394836,0.43321073055267334,0.8019826412200928
